ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,Wed Dec 22 11:13:45 2021,19,2,389888,4815,352320,15620,24096,2770,2503,127,35,1718,7,78.8,21.41,18.57,1,-0.004,230,0
2,Fri Dec 24 09:37:12 2021,19,2,322880,3532,359616,15261,27592,2709,2496,126,35,1812,12,75.9,20.57,17.32,1,-0.01,230,0
3,Mon Jan 10 14:24:06 2022,19,2,316608,3490,379840,16608,29992,3163,2491,126,35,1718,12,74,18.4,16.31,1,-0.011,230,0
4,Fri Jan 14 15:39:12 2022,19,2,296128,3154,368064,15829,28832,2954,2491,125,35,1765,12,72.1,18.06,16.31,1,-0.014,230,0
5,Tue Jan 18 07:21:40 2022,19,2,300544,2958,375296,16720,29136,2995,2490,125,35,1812,12,72.1,17.39,16.31,1,-0.012,230,0
6,Thu Jan 20 09:18:57 2022,19,2,300928,3277,396288,17504,32160,3169,2490,125,35,1953,12,71.2,19.07,16.31,1,-0.012,230,0
7,Thu Jan 27 08:23:03 2022,19,2,286976,3157,331328,14114,24248,2594,2490,125,35,1859,12,70.2,17.89,16.31,1,-0.012,230,0
8,Mon Jan 31 09:07:42 2022,19,2,338944,3804,344640,15180,31208,3014,2493,126,35,1953,12,73.1,19.23,16.31,1,-0.012,230,0
9,Fri Feb 04 07:46:52 2022,19,2,309632,3595,337536,14779,31840,3235,2491,125,35,2000,9.5,75,20.57,17.32,1,-0.014,230,0
10,Tue Feb 08 08:13:53 2022,19,2,366592,4302,362624,15220,34344,3426,2490,124,35,2047,12,76.9,21.58,17.32,1,-0.015,230,0
11,Fri Feb 11 14:08:04 2022,19,2,373056,3882,373376,16245,36112,4026,2489,125,35,2141,9.5,76.9,22.58,17.32,1,-0.014,230,0
12,Mon Feb 14 07:39:19 2022,19,2,363776,4129,354368,14972,32128,3123,2493,126,35,2094,9.5,76.9,22.25,17.32,1,-0.005,230,1
13,Wed Feb 16 11:50:41 2022,19,2,322304,3731,343040,14970,39352,4075,2484,128,35,2141,12,76.9,21.24,17.32,2,-0.018,230,0
14,Fri Feb 18 13:18:45 2022,19,2,348608,3820,339648,14563,35504,3713,2487,127,35,2047,14.5,76.9,19.4,17.07,2,-0.018,230,0
15,Mon Feb 21 12:29:38 2022,19,2,379200,4301,386176,16872,61288,6393,2495,128,35,2094,14.5,80.7,32.13,15.06,2,-0.021,230,0
16,Thu Feb 24 09:49:31 2022,19,2,370240,4365,339776,14477,52304,5400,2488,126,35,2141,16.5,90.2,28.28,18.07,2,-0.032,230,0
17,Tue Mar 01 07:11:05 2022,19,2,383552,4062,346368,14489,55784,5543,2489,128,35,2141,14.5,90.2,30.63,18.07,2,-0.028,230,0
18,Fri Mar 04 18:19:02 2022,19,2,352768,3661,319616,14234,55608,5577,2486,126,35,2094,14.5,90.2,29.79,18.07,2,-0.036,230,0
19,Thu Mar 10 09:29:55 2022,19,2,360640,4127,336384,13902,59160,5886,2486,127,35,2188,14.5,90.2,30.46,18.07,2,-0.032,230,0
20,Fri Mar 11 09:54:34 2022,19,2,370304,3742,345152,16074,61264,6248,2485,127,35,2282,14.5,90.2,31.63,18.07,2,-0.023,230,0
21,Mon Mar 14 08:59:48 2022,19,2,374592,3902,324224,14184,54688,5704,2486,126,35,2188,14.5,90.2,30.12,18.07,2,-0.038,230,1
