ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,Fri Nov 22 14:14:51 2019,34,1,519744,5845,199040,8572,9780,1029,1389,119.75,34.6,1429,15.14,90.3,34.9,18.762,1,-0.007,250,0
2,Mon Nov 25 14:11:04 2019,34,1,379264,4183,150592,6379,7224,775,1393,120.125,34.6,1382,15.14,90.3,34.9,18.762,1,-0.005,250,0
3,Tue Nov 26 15:23:25 2019,34,1,424256,4449,161280,7060,7866,712,1389,119.75,34.6,1382,15.14,90.3,34.9,18.762,1,-0.009,250,0
4,Wed Nov 27 16:16:56 2019,34,1,355392,3740,136320,5852,6394,620,1389,119.625,34.6,1382,15.14,90.3,34.9,18.762,1,-0.008,250,0
5,Thu Nov 28 16:04:35 2019,34,1,410560,4389,157504,7048,7478,829,1387,119.75,34.6,1382,15.14,90.3,34.9,18.762,1,-0.009,250,0
6,Fri Nov 29 16:14:26 2019,34,1,293184,3256,115032,4975,5697,528,1389,119.938,34.6,1335,12.58,90.3,34.9,18.933,1,-0.008,250,0
7,Mon Dec 02 15:57:52 2019,34,1,308608,3306,126360,5453,6654,690,1390,119.875,34.6,1382,15.14,90.3,34.9,17.723,1,-0.006,250,0
8,Tue Dec 03 18:10:49 2019,34,1,304064,3317,129944,5852,6548,579,1389,119.75,34.6,1382,15.14,90.3,34.9,17.723,1,-0.008,250,0
9,Wed Dec 04 17:34:17 2019,34,1,287680,3285,125944,5509,6781,703,1389,119.688,34.6,1382,15.14,90.3,34.9,17.723,1,-0.01,250,0
10,Thu Dec 05 14:21:58 2019,34,1,385600,4190,176192,7655,9359,925,1385,119.813,34.6,1429,17.63,90.3,34.9,17.561,1,-0.011,250,0
11,Fri Dec 06 15:46:31 2019,34,1,335360,3564,157696,6880,8520,881,1388,120,34.6,1382,15.14,90.3,34.9,17.723,1,-0.008,250,0
12,Mon Dec 09 17:22:01 2019,34,1,377600,4171,176000,7416,9566,959,1391,120.125,34.6,1382,15.14,90.3,33.9,17.723,1,-0.007,250,0
13,Tue Dec 10 19:07:47 2019,34,1,347008,3857,156736,7037,7863,812,1389,120.063,34.6,1382,17.63,90.3,33.5,17.561,1,-0.009,250,0
14,Tue Dec 17 09:54:48 2019,34,1,330688,3621,152640,6713,8475,752,1392,119.938,34.6,1382,15.14,90.3,33.9,17.723,1,-0.008,250,0
15,Fri Dec 20 10:53:21 2019,34,1,402176,4375,183872,7965,9561,991,1390,120.25,34.6,1382,17.63,90.3,33.31,17.561,1,-0.009,250,0
16,Mon Dec 23 16:09:28 2019,34,1,345152,3697,168768,7440,9344,953,1388,120,34.6,1382,17.63,90.3,32.71,17.561,1,-0.01,250,0
17,Tue Jan 14 08:29:23 2020,34,1,358720,4081,156864,6876,8562,840,1392,119.75,34.6,1382,17.63,90.3,33.11,17.561,1,-0.011,250,0
18,Wed Jan 15 16:21:10 2020,34,1,398592,4377,196224,8547,11102,1236,1397,119.625,34.6,1382,15.14,90.3,34.9,17.723,1,-0.009,250,0
19,Thu Jan 16 14:38:19 2020,34,1,430848,4732,199040,8454,11430,1171,1391,120,34.6,1382,15.14,90.3,33.7,17.723,1,-0.009,250,0
20,Fri Jan 17 13:20:47 2020,34,1,270976,2989,128256,5607,7243,752,1390,120.25,34.6,1335,17.63,90.3,33.11,17.561,1,-0.007,250,0
21,Mon Jan 20 14:21:36 2020,34,1,320832,3531,156352,6771,9212,927,1388,120.563,34.6,1335,15.14,90.3,33.11,17.723,1,-0.007,250,0
22,Thu Jan 23 09:12:53 2020,34,1,298752,3380,143040,6057,8165,808,1389,120.25,34.6,1335,17.63,90.3,32.71,17.561,1,-0.009,250,0
23,Fri Jan 24 12:20:09 2020,34,1,349248,3814,165952,7040,9283,1045,1388,120.563,34.6,1335,17.63,90.3,32.51,17.561,1,-0.009,250,0
24,Tue Jan 28 12:41:22 2020,34,1,398208,4357,189248,8281,10711,1051,1388,120.75,34.6,1335,17.63,90.3,31.91,17.561,1,-0.007,250,0
25,Wed Jan 29 17:01:08 2020,34,1,377408,4142,182976,8096,10234,1070,1390,120.5,34.6,1335,15.14,90.3,32.31,17.723,1,-0.006,250,0
26,Thu Jan 30 13:28:09 2020,34,1,305472,3509,150592,6707,8663,910,1390,120.313,34.6,1335,17.63,90.3,32.71,17.561,1,-0.007,250,0
27,Fri Jan 31 14:47:05 2020,34,1,394496,4377,190208,8392,10518,1072,1388,120.813,34.6,1335,17.63,90.3,32.11,17.561,1,-0.007,250,0
28,Mon Feb 03 13:43:43 2020,34,1,318016,3480,153792,6745,8419,934,1390,120.563,34.6,1335,15.14,90.3,32.31,17.723,1,-0.005,250,0
29,Tue Feb 04 12:58:33 2020,34,1,438144,5009,211456,9309,11673,1237,1390,120.563,34.6,1382,17.63,90.3,32.11,17.561,1,-0.006,250,0
30,Wed Feb 05 13:59:16 2020,34,1,412032,4762,200192,8871,11024,1175,1390,120.25,34.6,1429,15.14,90.3,32.71,17.723,1,-0.007,250,0
31,Thu Feb 06 14:22:53 2020,34,1,363264,4129,178240,7810,9955,840,1388,120.438,34.6,1429,17.63,90.3,32.51,17.561,1,-0.006,250,0
32,Fri Feb 07 15:47:09 2020,34,1,358080,4057,176704,7950,9703,1036,1390,119.875,34.6,1476,17.63,90.3,32.91,17.561,1,-0.008,250,0
33,Mon Feb 10 12:43:42 2020,34,1,362368,3975,177088,7370,9899,1004,1388,120.688,34.6,1429,17.63,90.3,32.31,17.561,1,-0.007,250,0
34,Tue Feb 11 15:43:56 2020,34,1,477824,5395,238016,10214,12770,1441,1388,120.438,34.6,1476,17.63,90.3,32.91,17.561,1,-0.008,250,0
35,Wed Feb 12 16:45:48 2020,34,1,384000,4252,196032,8582,11145,1117,1386,120.5,34.6,1429,17.63,90.3,32.11,17.561,1,-0.008,250,0
36,Tue Feb 18 13:26:28 2020,34,1,391488,4483,210048,9239,11728,1308,1389,120.563,34.6,1429,17.63,90.3,31.91,17.561,1,-0.009,250,0
37,Mon Feb 24 08:31:39 2020,34,1,283392,3079,148352,6354,7876,841,1391,120.125,34.6,1382,17.63,90.3,30.12,17.561,1,-0.008,250,0
38,Thu Feb 27 12:18:31 2020,34,1,514944,5680,284032,12353,15321,1619,1390,119.875,34.6,1476,17.63,90.3,30.72,17.561,1,-0.009,250,0
39,Fri Feb 28 16:19:31 2020,34,1,349824,3821,191936,8308,10464,1020,1389,119.563,34.6,1476,17.63,90.3,30.72,17.561,1,-0.01,250,0
40,Tue Mar 03 12:55:53 2020,34,1,306816,3312,177088,8048,10435,991,1390,119.813,34.6,1476,17.63,90.3,30.72,17.561,1,-0.007,250,0
41,Wed Mar 04 10:09:59 2020,34,1,364608,4068,216896,9791,12412,1378,1390,119.375,34.6,1524,17.63,90.3,31.51,17.561,1,-0.01,250,0
42,Thu Mar 05 13:05:21 2020,34,1,297152,3297,165184,6833,9052,955,1387,119.375,34.6,1476,17.63,90.3,30.52,17.561,1,-0.01,250,0
43,Fri Mar 06 14:44:07 2020,34,1,269376,3014,169472,7384,10236,1026,1387,119.438,34.6,1476,17.63,90.3,30.32,17.561,1,-0.009,250,0
44,Mon Mar 09 13:40:13 2020,34,1,309056,3432,193920,8531,11372,1045,1389,119.313,34.6,1524,17.63,90.3,30.72,17.561,1,-0.01,250,0
45,Tue Mar 10 12:19:31 2020,34,1,282688,3221,173184,7426,9595,1096,1388,119.375,34.6,1524,17.63,90.3,30.52,17.561,1,-0.01,250,0
46,Fri Jul 03 17:50:38 2020,34,1,272128,3197,166912,7539,14813,1316,1403,120,34.6,1582,17.63,90.3,33.11,18.6,1,-0.012,250,0
47,Tue Jul 07 15:01:25 2020,34,1,346496,3758,201920,8852,10977,1136,1387,119.063,34.6,1582,20.18,90.3,29.72,18.437,1,-0.014,250,0
48,Thu Jul 09 18:09:40 2020,34,1,323200,3551,194944,8702,11150,1106,1393,118.938,34.6,1535,17.63,90.3,30.32,18.6,1,-0.011,250,0
49,Fri Jul 10 12:02:15 2020,34,1,360960,3923,193472,8769,11007,1030,1394,119.125,34.6,1535,15.14,90.3,31.11,18.762,1,-0.007,250,0
