ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,Mon Nov 09 13:14:54 2020,19,2,316224,3698,407744,17472,46192,5006,2480,128,35,1506,14.5,72.1,21.41,15.06,1,-0.01,230,0
2,Fri Nov 13 06:00:35 2020,19,2,288960,3305,454464,20312,58072,5964,2481,126,35,1459,12,74,21.75,16.31,1,-0.009,230,0
3,Tue Nov 24 09:59:30 2020,19,2,273600,3156,436928,19248,54776,5393,2480,126,35,1506,12,75,21.58,16.31,1,-0.011,230,0
4,Fri Nov 27 11:01:43 2020,19,2,310400,3632,449344,19128,61176,6173,2480,127,35,1553,14.5,77.8,22.42,16.06,1,-0.005,230,0
5,Wed Dec 02 06:03:55 2020,19,2,335360,3957,479232,21008,62112,6370,2480,127,35,1600,14.5,77.8,20.24,16.06,1,-0.011,230,0
6,Thu Dec 03 09:38:36 2020,19,2,318784,3579,418816,18032,53064,5362,2480,127,35,1600,14.5,78.8,19.23,16.06,1,-0.014,230,0
7,Tue Dec 08 15:49:56 2020,19,2,362240,4050,492544,21512,66632,6696,2479,127,35,1553,12,80.7,21.75,17.32,1,-0.015,230,0
8,Fri Dec 11 17:30:17 2020,19,2,370176,4138,519616,22824,65720,6658,2476,128,35,1600,14.5,77.8,21.75,16.06,1,-0.009,230,0
9,Wed Dec 16 08:35:15 2020,19,2,312000,3468,410432,18520,48880,4867,2482,127,35,1506,14.5,77.8,22.75,16.06,1,-0.01,230,1
10,Fri Dec 18 19:13:15 2020,19,2,452160,4740,405824,17752,50208,5312,2483,126,35,1553,12,79.7,25.26,17.32,2,-0.023,230,0
11,Sun Dec 20 08:43:32 2020,19,2,404928,4819,422272,18320,48336,4867,2481,127,35,1647,14.5,78.8,22.92,17.07,2,-0.021,230,0
12,Thu Dec 24 11:32:59 2020,19,2,388800,4537,437376,19432,45888,4366,2483,126,35,1612,14.5,78.8,22.75,17.07,2,-0.01,230,0
13,Thu Dec 31 12:18:20 2020,19,2,444160,5013,468480,19960,52784,5217,2482,127,35,1612,14.5,80.7,22.58,17.07,2,-0.01,230,0
14,Mon Jan 18 12:16:41 2021,19,2,380928,4347,376192,16329,38312,4136,2482,127,35,1565,12,79.7,20.24,17.32,2,-0.014,230,0
15,Thu Jan 21 17:11:53 2021,19,2,440512,5046,449856,19000,59912,5996,2478,127,35,1706,12,77.8,24.76,17.32,2,-0.028,230,0
16,Mon Jan 25 16:10:34 2021,19,2,449920,5018,409472,18504,53848,5196,2480,127,35,1659,14.5,81.6,25.77,17.07,2,-0.03,230,0
17,Mon Feb 01 18:07:23 2021,19,2,381056,4220,242816,9745,28904,2786,2485,128,35,1659,14.5,82.6,29.29,17.07,2,-0.038,230,0
18,Fri Feb 05 10:39:34 2021,19,2,358720,3942,226816,10157,31592,3328,2480,128,35,1706,12,81.6,31.8,17.32,2,-0.05,230,0
19,Mon Feb 08 13:07:49 2021,19,2,385408,4646,243392,11043,31136,3272,2477,127,35,1659,9.5,80.7,30.46,17.32,2,-0.049,230,1
