ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,Thu May 28 21:38:58 2020,19,2,459136,5537,471872,21096,74368,8255,2484,125,35,1624,21.5,89.2,21.75,17.57,1,-0.018,230,0
2,Fri May 29 08:53:03 2020,19,2,462976,5021,460096,20064,74200,7672,2485,126,35,1576,21.5,90.2,21.75,17.57,1,-0.022,230,0
3,Tue Jun 02 13:04:43 2020,19,2,436736,4772,449664,19728,80536,8420,2480,124,35,1529,21.5,90.2,21.58,16.56,1,-0.022,230,0
4,Fri Jun 05 09:19:17 2020,19,2,422016,4722,425664,17760,77904,8134,2480,123,35,1576,21.5,90.2,24.59,16.56,1,-0.018,230,0
5,Wed Jun 10 09:03:53 2020,19,2,409280,4468,408896,18544,79176,8277,2481,124,35,1624,19,90.2,21.75,16.82,1,-0.022,230,0
6,Fri Jun 12 09:07:22 2020,19,2,382336,4416,402368,17448,71208,7213,2481,124,35,1624,16.5,90.2,20.74,18.07,1,-0.022,230,0
7,Mon Jun 15 11:52:58 2020,19,2,374272,4256,387328,16952,71232,7566,2480,123,35,1529,21.5,90.2,21.58,16.56,1,-0.021,230,0
8,Fri Jun 19 09:19:29 2020,19,2,355968,4409,364032,16448,55960,5820,2481,124,35,1576,21.5,90.2,21.41,17.57,1,-0.024,230,0
9,Tue Jun 23 09:09:56 2020,19,2,426688,4913,446336,19056,69152,6955,2482,123,35,1671,16.5,87.3,19.9,18.07,1,-0.023,230,0
10,Fri Jun 26 10:06:32 2020,19,2,430784,5254,458048,19904,69424,7542,2483,123,35,1576,19,88.3,20.07,17.82,1,-0.025,230,0
11,Mon Jun 29 12:24:20 2020,19,2,389696,4300,402176,17584,61136,6187,2483,124,35,1624,19,88.3,19.23,17.82,1,-0.025,230,0
12,Thu Jul 02 11:08:17 2020,19,2,374656,4045,396672,17488,56272,5762,2483,122,35,1529,19,84.5,18.9,16.82,1,-0.028,230,0
13,Sun Jul 05 10:44:32 2020,19,2,383232,4270,397184,17056,46408,4718,2481,122,35,1624,19,82.6,16.72,16.82,1,-0.022,230,0
14,Wed Jul 08 08:35:40 2020,19,2,373632,4222,373120,15956,39024,4096,2479,122,35,1529,16.5,80.7,15.88,17.07,1,-0.021,230,0
15,Fri Jul 10 12:33:04 2020,19,2,366656,3962,393344,17448,44488,4734,2484,122,35,1529,19,80.7,16.72,16.82,1,-0.022,230,0
16,Wed Jul 15 07:22:23 2020,19,2,309440,3538,357824,16003,37760,3646,2475,122,35,1529,14.5,73.1,16.39,16.06,1,-0.028,230,0
17,Fri Jul 17 12:36:31 2020,19,2,359424,4311,404480,17920,42840,4209,2475,122,35,1529,16.5,71.2,14.71,15.06,1,-0.028,230,0
18,Mon Jul 20 13:00:29 2020,19,2,331200,3905,400512,17176,45416,4898,2478,123,35,1529,16.5,70.2,15.88,15.06,1,-0.026,230,0
19,Wed Jul 22 12:33:44 2020,19,2,469568,5684,505600,23136,46424,4806,2487,125,35,1435,9.5,70.2,21.58,17.32,1,-0.015,230,0
20,Mon Jul 27 07:29:10 2020,19,2,323968,3710,413248,17904,36640,3851,2486,125,35,1388,12,67.4,19.23,15.31,1,-0.015,230,0
21,Thu Jul 30 06:14:35 2020,19,2,300288,3481,389440,17200,31952,3391,2480,124,35,1388,9.5,69.3,18.4,16.31,1,-0.015,230,0
22,Mon Aug 03 06:03:12 2020,19,2,362816,4109,477120,20968,38896,3958,2480,124,35,1529,12,67.4,18.9,15.31,1,-0.015,230,0
23,Wed Aug 05 10:12:29 2020,19,2,290048,3275,390208,17760,35808,3461,2475,123,35,1388,9.5,68.3,16.39,16.31,1,-0.021,230,0
24,Fri Aug 07 12:21:00 2020,19,2,328768,3966,430720,19096,36152,3443,2483,124,35,1435,12,69.3,18.4,16.31,1,-0.017,230,0
25,Tue Aug 11 08:31:44 2020,19,2,330496,4016,412288,18176,34272,3473,2479,123,35,1435,9.5,68.3,17.89,16.31,1,-0.022,230,0
26,Fri Aug 14 07:59:43 2020,19,2,300096,3548,422592,18744,37680,4018,2472,123,35,1435,12,66.4,15.38,15.31,1,-0.024,230,0
27,Wed Aug 19 06:15:06 2020,19,2,367104,4336,477888,20808,47032,5076,2483,123,35,1506,12,66.4,22.25,15.31,1,-0.022,230,0
28,Fri Aug 21 09:41:15 2020,19,2,314688,3585,460096,21272,37552,3915,2469,124,35,1459,14.5,63.6,13.54,14.05,1,-0.026,230,0
29,Tue Aug 25 06:28:22 2020,19,2,294336,3320,398848,17600,32880,3420,2480,123,35,1506,12,64.5,17.73,15.31,1,-0.019,230,0
30,Fri Aug 28 20:00:18 2020,19,2,324800,3861,424384,18968,36448,3622,2477,124,35,1506,12,63.6,16.22,14.31,1,-0.024,230,0
31,Fri Sep 04 18:32:06 2020,19,2,294912,3452,411008,18408,36488,3978,2475,124,35,1459,12,61.7,15.55,14.31,1,-0.026,230,0
32,Tue Sep 08 12:07:12 2020,19,2,327808,3582,437760,19168,36488,3298,2472,124,35,1506,12,61.7,14.54,14.31,1,-0.029,230,0
33,Fri Sep 11 11:11:57 2020,19,2,292992,3186,380800,16784,39264,4077,2472,124,35,1506,14.5,61.7,13.87,13.05,1,-0.029,230,0
34,Tue Sep 15 09:41:56 2020,19,2,252224,2970,352064,15660,35136,3953,2478,125,35,1506,14.5,60.7,13.7,13.05,1,-0.024,230,0
35,Thu Sep 17 07:47:25 2020,19,2,305792,3711,428736,19056,43984,4092,2480,125,35,1553,16.5,62.6,13.87,13.05,1,-0.021,230,0
36,Mon Sep 21 06:23:13 2020,19,2,289792,3358,378944,16880,34288,3370,2476,125,35,1553,12,62.6,14.88,14.31,1,-0.028,230,1
37,Thu Sep 24 06:12:35 2020,19,2,370176,4038,461184,19800,39568,3895,2485,125,35,1600,12,63.6,16.05,14.31,2,-0.021,230,0
38,Mon Sep 28 18:28:49 2020,19,2,307008,3128,423680,18208,40520,3835,2484,126,35,1600,14.5,67.4,17.06,15.06,2,-0.022,230,0
39,Fri Oct 02 08:55:31 2020,19,2,313984,3731,422272,18384,47640,4871,2483,125,35,1553,16.5,67.4,16.22,14.05,2,-0.022,230,0
40,Wed Oct 07 06:29:19 2020,19,2,320000,3706,430592,18808,47280,4616,2483,125,35,1553,14.5,66.4,16.55,14.05,2,-0.022,230,0
41,Mon Oct 12 05:58:29 2020,19,2,314240,3496,399488,17536,42816,4215,2486,126,35,1600,14.5,70.2,17.56,15.06,2,-0.024,230,0
42,Thu Oct 15 06:23:21 2020,19,2,317888,3643,411712,18464,40824,3880,2487,125,35,1553,16.5,71.2,16.55,15.06,2,-0.019,230,0
43,Mon Oct 19 07:42:22 2020,19,2,334016,3820,417408,17984,40736,4479,2482,126,35,1647,16.5,67.4,15.88,14.05,2,-0.025,230,0
44,Tue Oct 27 06:07:36 2020,19,2,308160,3464,394688,16800,39360,3962,2479,126,35,1600,14.5,66.4,15.21,14.05,2,-0.024,230,0
45,Fri Oct 30 09:29:38 2020,19,2,350848,3981,449792,20304,46352,4749,2482,125,35,1600,12,68.3,16.05,15.31,2,-0.028,230,0
46,Wed Nov 04 17:23:13 2020,19,2,384576,4177,472448,22056,42816,4180,2483,126,35,1506,14.5,67.4,15.05,15.06,2,-0.021,230,1
