ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,Fri Jan 24 13:57:39 2020,19,2,385984,4126,186112,8341,7700,859,2489,131,35,1388,7,75.9,34.81,7.53,1,0.039,230,0
2,Thu Jan 30 12:06:07 2020,19,2,401408,4376,193472,8156,8043,754,2489,130,35,1435,7,75.9,34.81,8.53,1,0.034,230,0
3,Fri Feb 07 11:18:13 2020,19,2,381824,4234,188800,7854,7105,750,2483,128,35,1482,5,76.9,34.81,9.79,1,0.016,230,0
4,Fri Feb 14 10:12:36 2020,19,2,409216,4858,204672,8806,9188,921,2482,129,35,1529,7,81.6,34.81,9.54,1,0.011,230,0
5,Fri Feb 21 09:10:45 2020,19,2,379520,4507,191296,8179,9947,1070,2479,130,35,1435,7,81.6,34.48,8.53,1,0.016,230,0
6,Thu Feb 27 14:36:59 2020,19,2,356800,3775,172672,7420,8560,891,2480,130,35,1388,7,82.6,34.81,8.53,1,0.015,230,0
7,Mon Mar 02 09:44:28 2020,19,2,387840,3872,167808,7916,8381,665,2495,130,35,1482,7,82.6,34.81,7.53,1,0.002,230,0
8,Fri Mar 06 14:38:37 2020,19,2,493952,5229,213760,9334,8485,912,2508,131,35,1435,7,80.7,34.65,7.53,1,0.032,230,0
9,Wed Mar 11 08:50:09 2020,19,2,424576,4450,207360,9471,10235,831,2489,128,35,1624,7,83.5,30.29,8.53,1,-0.003,230,0
10,Mon Mar 16 11:58:40 2020,19,2,445632,4951,241024,12151,12488,1039,2488,127,35,1718,7,86.4,22.75,10.54,1,-0.011,230,0
11,Thu Mar 19 11:39:19 2020,19,2,376256,4481,230208,9462,13001,1459,2479,127,35,1718,7,90.2,17.89,11.55,1,-0.01,230,0
12,Mon Mar 23 09:29:55 2020,19,2,416896,3594,237440,12521,10074,1214,2482,127,35,1953,5,90.2,14.38,14.81,1,-0.011,230,1
13,Thu Mar 26 09:20:43 2020,19,2,443136,4732,265792,11134,14166,1528,2474,126,35,1859,5,90.2,16.39,12.8,2,-0.009,230,0
14,Mon Mar 30 10:03:59 2020,19,2,416640,4471,248448,10745,15540,1501,2474,126,35,1812,5,90.2,17.39,12.8,2,-0.017,230,0
15,Thu Apr 02 11:55:41 2020,19,2,391680,4008,227328,9290,14734,1401,2472,125,35,1718,5,89.2,15.21,12.8,2,-0.011,230,0
16,Mon Apr 06 11:26:49 2020,19,2,364672,4373,204224,7831,13996,2024,2469,126,35,1765,5,90.2,14.88,12.8,2,-0.014,230,0
17,Thu Apr 09 12:28:26 2020,19,2,461568,4781,265472,10846,17320,1765,2465,126,35,1859,5,89.2,14.54,12.8,2,-0.014,230,0
18,Fri Apr 17 10:09:07 2020,19,2,372480,3965,204096,8706,15485,1492,2461,126,35,1765,5,90.2,14.21,12.8,2,-0.018,230,0
19,Mon Apr 20 10:26:12 2020,19,2,386304,4213,208192,8737,14228,1793,2466,126,35,1812,5,89.2,14.04,12.8,2,-0.014,230,0
20,Fri Apr 24 09:53:40 2020,19,2,425088,4871,221440,8845,16135,1905,2461,126,35,1812,2.5,89.2,13.7,13.8,2,-0.022,230,0
21,Wed Apr 29 09:39:48 2020,19,2,381184,4931,212416,7435,14263,1419,2463,126,35,1859,2.5,89.2,13.87,13.8,2,-0.019,230,0
22,Mon May 04 11:09:42 2020,19,2,413248,3889,224448,10325,17864,1754,2470,127,35,1859,5,90.2,13.7,12.8,2,-0.008,230,0
23,Thu May 07 11:56:11 2020,19,2,410048,4805,204736,7691,13367,1858,2457,125,35,1859,2.5,87.3,12.87,13.8,2,-0.032,230,0
24,Sat May 09 21:27:37 2020,19,2,422720,4508,211328,8701,18544,1525,2457,126,35,1953,2.5,89.2,13.03,13.8,2,-0.024,230,0
25,Mon May 11 09:42:04 2020,19,2,374400,4786,197696,8038,14569,1059,2461,127,35,2000,2.5,88.3,13.2,13.8,2,-0.019,230,0
26,Tue May 12 13:35:49 2020,19,2,430272,4241,227648,8650,16456,2023,2461,126,35,1859,2.5,88.3,12.7,13.8,2,-0.009,230,0
27,Fri May 15 09:19:46 2020,19,2,373632,4359,214528,10061,15380,1600,2465,127,35,1953,2.5,90.2,12.7,13.8,2,-0.001,230,0
28,Wed May 20 09:47:01 2020,19,2,471680,5469,243072,9751,21088,2192,2456,127,35,2000,2.5,86.4,12.87,13.8,2,-0.023,230,1
