ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,10/08/2020 2:34 PM  (UTC+10:00),35,1,324224,3632,251008,11280,17232,1507,2656,133.625,34.6,1621,20.18,90.3,27.73,14.273,1,-0.019,250,0
2,11/08/2020 11:40 AM  (UTC+10:00),35,1,401600,4205,309376,13308,20704,2258,2655,133.563,34.6,1650,20.18,90.3,28.52,14.273,1,-0.022,250,0
3,12/08/2020 9:23 AM  (UTC+10:00),35,1,354432,3940,268032,11653,17904,1646,2657,133.438,34.6,1641,20.18,90.3,28.13,14.273,1,-0.021,250,0
4,13/08/2020 11:45 AM  (UTC+10:00),35,1,437312,5037,335168,14327,21016,2364,2655,134,34.6,1680,22.67,90.3,28.13,14.11,1,-0.02,250,0
5,14/08/2020 3:00 PM  (UTC+10:00),35,1,451200,4897,347840,14616,21864,2533,2657,133.75,34.6,1687,22.67,90.3,28.52,14.11,1,-0.019,250,0
6,17/08/2020 11:09 AM  (UTC+10:00),35,1,321472,3339,242240,10591,15088,1560,2656,133.438,34.6,1613,22.67,90.3,27.13,14.11,1,-0.021,250,0
7,18/08/2020 1:20 PM  (UTC+10:00),35,1,347968,3893,267264,11755,17240,1762,2656,133.438,34.6,1634,22.67,90.3,27.93,14.11,1,-0.021,250,0
8,19/08/2020 1:46 PM  (UTC+10:00),35,1,350912,3566,278784,12533,19792,1847,2657,133.625,34.6,1628,20.18,90.3,27.53,14.273,1,-0.021,250,0
9,20/08/2020 11:32 AM  (UTC+10:00),35,1,360064,3759,285376,12060,20952,2107,2656,133.5,34.6,1634,20.18,90.3,27.73,14.273,1,-0.022,250,0
10,21/08/2020 11:57 AM  (UTC+10:00),35,1,371264,4024,294784,12966,21336,2330,2657,133.438,34.6,1640,20.18,90.3,27.93,14.273,1,-0.021,250,0
11,24/08/2020 2:34 PM  (UTC+10:00),35,1,326464,3635,257728,11114,18096,1720,2657,133.375,34.6,1646,22.67,90.3,27.13,14.11,1,-0.022,250,0
12,25/08/2020 12:42 PM  (UTC+10:00),35,1,383296,4344,308736,13482,20656,2132,2656,133.5,34.6,1674,22.67,90.3,27.33,14.11,1,-0.021,250,0
13,26/08/2020 11:44 AM  (UTC+10:00),35,1,342912,3939,273920,12183,20744,2050,2655,133.438,34.6,1652,20.18,90.3,27.53,14.273,1,-0.024,250,0
14,27/08/2020 10:10 AM  (UTC+10:00),35,1,402240,4409,324352,13597,23112,2138,2655,133.5,34.6,1689,22.67,90.3,26.53,14.11,1,-0.025,250,0
15,28/08/2020 2:43 PM  (UTC+10:00),35,1,441856,4808,351360,15269,25296,2472,2656,133.188,34.6,1716,22.67,90.3,26.73,14.11,1,-0.025,250,0
16,31/08/2020 1:24 PM  (UTC+10:00),35,1,330048,3585,261120,11395,18368,1809,2655,133.438,34.6,1654,22.67,90.3,26.53,14.11,1,-0.025,250,0
17,1/09/2020 2:24 PM  (UTC+10:00),35,1,353920,4103,282688,12032,21544,1987,2654,133.188,34.6,1660,22.67,90.3,26.53,14.11,1,-0.025,250,0
18,2/09/2020 2:24 PM  (UTC+10:00),35,1,416576,4436,331776,14098,23520,2342,2656,133.313,34.6,1702,22.67,90.3,26.73,14.11,1,-0.024,250,1
19,3/09/2020 1:55 PM  (UTC+10:00),35,1,390848,4037,328320,13685,26560,2659,2654,133.438,34.6,1710,22.67,90.3,26.13,13.071,2,-0.027,250,0
20,4/09/2020 1:33 PM  (UTC+10:00),35,1,357120,3827,299008,12340,24560,2160,2655,133.313,34.6,1704,22.67,90.3,26.53,13.071,2,-0.026,250,0
21,7/09/2020 1:42 PM  (UTC+10:00),35,1,420800,4561,338624,13806,27136,2738,2655,133.188,34.6,1740,22.67,90.3,26.73,13.071,2,-0.028,250,0
22,8/09/2020 11:28 AM  (UTC+10:00),35,1,339648,3743,274496,12155,20040,1931,2656,133.688,34.6,1699,22.67,90.3,26.73,13.071,2,-0.023,250,0
23,9/09/2020 12:23 PM  (UTC+10:00),35,1,358656,3876,294272,12651,19792,2040,2658,133.5,34.6,1701,22.67,90.3,26.93,13.071,2,-0.022,250,0
24,10/09/2020 2:26 PM  (UTC+10:00),35,1,414080,4995,344384,14749,22336,2100,2657,133.313,34.6,1743,22.67,90.3,26.93,13.071,2,-0.022,250,0
25,11/09/2020 12:07 PM  (UTC+10:00),35,1,351424,3627,287168,11944,19920,1863,2656,133.625,34.6,1718,22.67,90.3,26.73,13.071,2,-0.021,250,0
26,14/09/2020 3:03 PM  (UTC+10:00),35,1,456448,4719,366016,16178,25944,2762,2654,133.688,34.6,1765,22.67,90.3,26.73,13.071,2,-0.024,250,0
27,15/09/2020 1:46 PM  (UTC+10:00),35,1,337152,3586,275840,12111,18088,1852,2655,134,34.6,1723,22.67,90.3,26.73,13.071,2,-0.02,250,0
28,16/09/2020 10:52 AM  (UTC+10:00),35,1,365888,4157,288064,12943,19872,1967,2655,133.625,34.6,1729,22.67,90.3,26.73,13.071,2,-0.024,250,0
29,17/09/2020 2:25 PM  (UTC+10:00),35,1,388608,4362,313728,14247,22472,2119,2657,133.438,34.6,1742,22.67,90.3,26.93,13.071,2,-0.024,250,0
30,18/09/2020 2:18 PM  (UTC+10:00),35,1,418496,4678,342848,14776,23688,2454,2657,133.375,34.6,1774,22.67,90.3,26.33,13.071,2,-0.022,250,0
31,21/09/2020 11:05 AM  (UTC+10:00),35,1,324288,3721,267520,11719,17936,1871,2656,133.938,34.6,1723,22.67,90.3,26.13,13.071,2,-0.022,250,0
32,22/09/2020 1:41 PM  (UTC+10:00),35,1,351232,3341,279424,11904,18608,1930,2656,133.938,34.6,1728,22.67,90.3,25.93,13.071,2,-0.022,250,0
33,23/09/2020 2:33 PM  (UTC+10:00),35,1,348416,3616,285184,12581,18952,1844,2655,133.875,34.6,1734,22.67,90.3,26.33,13.071,2,-0.022,250,0
34,24/09/2020 1:50 PM  (UTC+10:00),35,1,346944,3552,276160,12260,18496,1676,2654,134.25,34.6,1740,22.67,90.3,25.74,13.071,2,-0.022,250,0
