ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,Mon Oct 26 21:31:37 2020,36,1,416768,4828,293184,12697,20056,1835,1889,117.625,34.6,1474,17.63,90.3,26.93,15.482,1,-0.019,250,0
2,Tue Oct 27 12:24:04 2020,36,1,402880,4670,312448,13377,22624,2398,1887,117.813,34.6,1474,17.63,90.3,28.52,15.482,1,-0.019,250,0
3,Wed Oct 28 13:36:34 2020,36,1,374208,4130,301248,13449,23136,2381,1888,117.75,34.6,1474,17.63,90.3,30.52,15.482,1,-0.017,250,0
4,Thu Oct 29 13:43:33 2020,36,1,364672,3947,307200,13451,25248,2421,1886,118.25,34.6,1474,20.18,90.3,31.71,14.273,1,-0.017,250,0
5,Fri Oct 30 16:09:22 2020,36,1,360384,3985,302528,13651,26168,2515,1889,117.813,34.6,1474,17.63,90.3,31.91,14.443,1,-0.017,250,0
6,Mon Nov 02 12:14:34 2020,36,1,342144,3911,278976,12289,24232,2346,1887,117.813,34.6,1474,17.63,90.3,31.11,14.443,1,-0.019,250,0
7,Tue Nov 03 14:36:14 2020,36,1,336832,3905,284608,12481,24688,2562,1888,117.625,34.6,1474,17.63,90.3,31.51,14.443,1,-0.019,250,0
8,Wed Nov 04 14:31:13 2020,36,1,361472,4016,299712,13032,24960,2324,1888,117.813,34.6,1474,17.63,90.3,30.72,14.443,1,-0.018,250,0
9,Thu Nov 05 13:32:21 2020,36,1,346304,3702,292032,12635,25112,2550,1889,117.813,34.6,1474,17.63,90.3,31.71,14.443,1,-0.018,250,0
10,Fri Nov 06 11:59:31 2020,36,1,319808,3732,265792,11444,21520,2267,1889,117.813,34.6,1474,20.18,90.3,31.11,14.273,1,-0.017,250,0
11,Mon Nov 09 10:48:13 2020,36,1,342848,3978,285312,12478,24184,2354,1889,117.75,34.6,1474,17.63,90.3,31.11,14.443,1,-0.018,250,0
12,Tue Nov 10 13:18:58 2020,36,1,311616,3566,260160,11415,21648,2334,1890,117.75,34.6,1474,17.63,90.3,31.51,14.443,1,-0.016,250,0
13,Wed Nov 11 12:05:41 2020,36,1,315008,3467,260480,11309,23136,2293,1889,117.813,34.6,1474,17.63,90.3,31.51,14.443,1,-0.019,250,0
14,Thu Nov 12 13:35:23 2020,36,1,336192,3563,279296,12395,23872,2574,1889,118,34.6,1474,17.63,90.3,31.71,14.443,1,-0.017,250,0
15,Fri Nov 13 14:51:16 2020,36,1,344704,4030,288128,12248,24376,2333,1889,117.813,34.6,1474,17.63,90.3,31.51,14.443,1,-0.017,250,0
16,Mon Nov 16 13:13:13 2020,36,1,379712,4244,314432,13962,27320,2741,1889,117.688,34.6,1474,17.63,90.3,30.52,14.443,1,-0.019,250,0
17,Tue Nov 17 12:18:51 2020,36,1,351872,3964,299712,12813,25912,2908,1889,117.688,34.6,1474,17.63,90.3,31.51,14.443,1,-0.019,250,0
18,Wed Nov 18 14:28:19 2020,36,1,409408,4527,336128,14610,29408,2527,1891,117.5,34.6,1521,17.63,90.3,31.51,14.443,1,-0.017,250,0
